zip_code,total_population,median_age,total_housing_units,owner_occupied_units,renter_occupied_units,pct_renter_occupied
10001,27004,35.7,14375,3422,10953,76.19
10002,76518,44.2,36028,6224,29804,82.72
10003,53877,32.2,24987,8927,16060,64.27
10004,4579,34.6,2123,893,1230,57.94
10005,8801,29.6,4881,814,4067,83.32
10006,3736,32.0,2046,363,1683,82.26
10007,7506,34.7,3084,1053,2031,65.86
10009,58418,38.2,29670,2835,26835,90.44
10010,32410,35.8,16050,4628,11422,71.17
10011,50772,42.5,28874,10558,18316,63.43
10012,21216,34.8,11529,2355,9174,79.57
10013,29453,40.2,12753,3759,8994,70.52
10014,29461,39.8,17504,4974,12530,71.58
10016,54369,33.3,30162,8224,21938,72.73
10017,14486,41.2,9155,2799,6356,69.43
10018,8659,33.2,4704,584,4120,87.59
10019,42766,41.4,26297,6052,20245,76.99
10020,0,-666666666.0,0,0,0,0.00
10021,40642,43.0,20568,9179,11389,55.37
10022,33586,48.6,18153,8865,9288,51.17
10023,65706,43.0,35742,13634,22108,61.85
10024,62774,43.1,29472,11294,18178,61.68
10025,96988,39.8,41653,13115,28538,68.51
10026,38265,36.1,15237,3014,12223,80.22
10027,65806,31.4,24387,3249,21138,86.68
10028,45717,41.6,24440,8713,15727,64.35
10029,75614,38.3,33406,2284,31122,93.16
10030,31268,37.5,13097,1881,11216,85.64
10031,61044,36.1,22037,2866,19171,86.99
10032,60480,37.3,22285,2071,20214,90.71
10033,58711,37.0,20521,3023,17498,85.27
10034,41570,37.6,15879,1449,14430,90.87
10035,38595,37.1,14833,1445,13388,90.26
10036,30930,39.3,18916,1563,17353,91.74
10037,19138,39.3,10103,683,9420,93.24
10038,23343,34.6,10646,2859,7787,73.14
10039,29887,37.5,12177,1814,10363,85.10
10040,43653,40.3,16541,2442,14099,85.24
10044,11846,39.9,5039,1045,3994,79.26
10065,30859,38.0,16113,5236,10877,67.50
10069,6259,40.0,3142,1024,2118,67.41
10075,23920,44.9,12839,5818,7021,54.68
10103,0,-666666666.0,0,0,0,0.00
10119,0,-666666666.0,0,0,0,0.00
10128,56695,42.3,29328,9084,20244,69.03
10280,8843,45.3,4293,1345,2948,68.67
10282,6450,38.7,2635,240,2395,90.89
10301,40331,36.8,14400,6635,7765,53.92
10302,18567,35.0,5945,3329,2616,44.00
10303,27083,36.3,8675,5534,3141,36.21
10304,44864,38.8,15553,7756,7797,50.13
10305,42211,43.5,15780,10380,5400,34.22
10306,56232,42.2,19872,14392,5480,27.58
10307,14755,42.6,5217,4216,1001,19.19
10308,30075,42.0,10472,8287,2185,20.87
10309,34740,40.8,11792,9431,2361,20.02
10310,26239,36.7,9145,5338,3807,41.63
10311,0,-666666666.0,0,0,0,0.00
10312,63473,40.9,21324,17473,3851,18.06
10314,94355,41.7,31825,23891,7934,24.93
10451,51311,34.3,20965,2973,17992,85.82
10452,78624,33.1,28260,933,27327,96.70
10453,80385,33.8,28456,1338,27118,95.30
10454,41073,33.1,14737,840,13897,94.30
10455,44380,32.2,16254,1907,14347,88.27
10456,88575,33.6,32370,2021,30349,93.76
10457,79817,30.8,26163,1636,24527,93.75
10458,82678,30.5,29116,1210,27906,95.84
